language,platform,taskset,nrow,time
CPP,Single,false,6000000,70722
CPP,Parallel,false,6000000,41053
CPP,Single,true,4000000,46755
CPP,Single,false,4000000,49043
CPP,Parallel,false,4000000,29038
CPP,Single,true,2000000,25753
CPP,Single,false,2000000,27956
CPP,Parallel,false,2000000,17702
Java,Single,true,10000000,157279
Java,Single,false,10000000,197181
Java,Parallel,false,10000000,70968
Java,Single,true,10000000,159418
Java,Single,false,10000000,179088
Java,Parallel,false,10000000,70624
Java,Single,true,10000000,159091
Java,Single,false,10000000,175691
Java,Parallel,false,10000000,70438
Java,Single,true,10000000,166247
Java,Single,false,10000000,177149
Java,Parallel,false,10000000,71300
Java,Single,true,10000000,159655
Java,Single,false,10000000,208007
Java,Parallel,false,10000000,70721
Java,Single,true,10000000,156068
Java,Single,false,10000000,176809
Java,Parallel,false,10000000,70830
Java,Single,true,10000000,151281
Java,Single,false,10000000,177207
Java,Parallel,false,10000000,70566
Java,Single,true,10000000,159986
Java,Single,false,10000000,168912
Java,Parallel,false,10000000,71320
Rust,Single,true,10000000,164939
Rust,Single,false,10000000,173045
Rust,Parallel,false,10000000,72819
Rust,Single,true,8000000,134024
Rust,Single,false,8000000,147031
Rust,Parallel,false,8000000,72706
Rust,Single,true,6000000,101719
Rust,Single,false,6000000,106522
Rust,Parallel,false,6000000,72753
Rust,Single,true,4000000,67953
Rust,Single,false,4000000,73746
Rust,Parallel,false,4000000,72507
Rust,Single,true,2000000,35039
Rust,Single,false,2000000,37867
Rust,Parallel,false,2000000,72598
Rust,Single,true,10000000,166923
Rust,Single,false,10000000,176734
Rust,Parallel,false,10000000,72952
Rust,Single,true,8000000,136681
Rust,Single,false,8000000,141015
Rust,Parallel,false,8000000,72672
Rust,Single,true,6000000,101760
Rust,Single,false,6000000,109048
Rust,Parallel,false,6000000,72725
Rust,Single,true,4000000,67812
Rust,Single,false,4000000,73217
Rust,Parallel,false,4000000,72568
Rust,Single,true,2000000,34879
Rust,Single,false,2000000,35923
Rust,Parallel,false,2000000,72553
Rust,Single,true,10000000,165235
Rust,Single,false,10000000,174151
Rust,Parallel,false,10000000,72774
Rust,Single,true,8000000,133590
Rust,Single,false,8000000,140808
Rust,Parallel,false,8000000,72769
Rust,Single,true,6000000,101501
Rust,Single,false,6000000,106715
Rust,Parallel,false,6000000,72893
Rust,Single,true,4000000,68066
Rust,Single,false,4000000,70501
Rust,Parallel,false,4000000,72741
Rust,Single,true,2000000,34990
Rust,Single,false,2000000,35947
Rust,Parallel,false,2000000,72874
Rust,Single,true,10000000,164824
Rust,Single,false,10000000,169159
Rust,Parallel,false,10000000,72984
Rust,Single,true,8000000,133833
Rust,Single,false,8000000,144564
Rust,Parallel,false,8000000,72885
Rust,Single,true,6000000,101761
Rust,Single,false,6000000,104588
Rust,Parallel,false,6000000,72698
Rust,Single,true,4000000,67890
Rust,Single,false,4000000,71531
Rust,Parallel,false,4000000,72829
Rust,Single,true,2000000,35049
Rust,Single,false,2000000,36932
Rust,Parallel,false,2000000,72809
Rust,Single,true,10000000,165377
Rust,Single,false,10000000,177870
Rust,Parallel,false,10000000,72987
Rust,Single,true,8000000,134313
Rust,Single,false,8000000,142502
Rust,Parallel,false,8000000,72826
Rust,Single,true,6000000,101949
Rust,Single,false,6000000,113449
Rust,Parallel,false,6000000,72793
Rust,Single,true,4000000,67801
Rust,Single,false,4000000,73179
Rust,Parallel,false,4000000,72657
Rust,Single,true,2000000,35017
Rust,Single,false,2000000,35379
Rust,Parallel,false,2000000,72562
